,Date,maxT,minT,prcpt
1,1/01/76,8,1.1,17.3
2,2/01/76,9.6,0.3,41
3,3/01/76,10.3,1.3,26.6
4,4/01/76,10.6,1.4,5.3
5,5/01/76,9.2,-0.2,18.3
6,6/01/76,8.1,4.7,4.7
7,7/01/76,8.2,5.5,1.2
8,8/01/76,7.9,6.3,0
9,9/01/76,8.5,7.2,4.9
10,10/01/76,8.3,3.5,13.3
11,11/01/76,10,5.5,5.5
12,12/01/76,9.2,7.3,2
13,13/01/76,9.1,7.6,4.4
14,14/01/76,7.9,5.6,1.9
15,15/01/76,6.1,4.2,0.2
16,16/01/76,7.6,3.5,0
17,17/01/76,6.9,4.8,1.7
18,18/01/76,6.7,4.2,1.8
19,19/01/76,5.6,2,3.1
20,20/01/76,9.5,4.3,9.3
21,21/01/76,7.5,2.8,7.6
22,22/01/76,7.8,3.8,4.9
23,23/01/76,8.3,1.9,7.5
24,24/01/76,8,-1.8,2.6
25,25/01/76,0.3,-3.4,0.6
26,26/01/76,-0.2,-3.8,0.8
27,27/01/76,2.1,-2.8,6.9
28,28/01/76,2.2,-2.6,0
29,29/01/76,0.1,-2.5,0
30,30/01/76,-1.2,-4.2,0
31,31/01/76,-0.5,-4.4,0
32,1/02/76,-0.2,-2.3,0
33,2/02/76,-0.2,-2.6,1.4
34,3/02/76,-1.1,-2.2,0.8
35,4/02/76,0.2,-1.8,1.3
36,5/02/76,0.4,-1.3,1.4
37,6/02/76,0,-1.1,0
38,7/02/76,1.6,-0.2,5.3
39,8/02/76,4.6,1.5,1.1
40,9/02/76,6.4,1,0.3
41,10/02/76,8.9,1.9,3.2
42,11/02/76,5,-0.2,5.5
43,12/02/76,3.6,-0.1,11.9
44,13/02/76,8.4,2.8,25.2
45,14/02/76,4.6,-2.8,0
46,15/02/76,1.8,-2.6,0
47,16/02/76,1.5,-3.1,0.9
48,17/02/76,-0.4,-2.7,0
49,18/02/76,0.8,-0.5,1.1
50,19/02/76,0.9,-0.4,0.5
51,20/02/76,3.4,-0.3,0
52,21/02/76,5.2,1.9,0
53,22/02/76,6.7,4.4,5.2
54,23/02/76,8.6,5.1,1.2
55,24/02/76,10.4,3.7,7.2
56,25/02/76,9,3.9,0
57,26/02/76,11.2,5.3,0
58,27/02/76,10.5,4.8,0
59,28/02/76,10,2.9,0
60,29/02/76,8.8,4.3,0
61,1/03/76,10.6,1.5,2.2
62,2/03/76,6.8,-3.4,0
63,3/03/76,7.6,-1,0
64,4/03/76,7.2,-3.1,0
65,5/03/76,8.5,-0.2,0
66,6/03/76,7,-3.1,0
67,7/03/76,2.2,-2.5,0
68,8/03/76,1.2,-2.4,0
69,9/03/76,2.8,-2.5,0
70,10/03/76,3.7,0.3,0.4
71,11/03/76,5.3,1,0
72,12/03/76,5.9,0.2,4.2
73,13/03/76,4,0.6,6.9
74,14/03/76,2.3,0.5,0
75,15/03/76,2.2,0.9,0.7
76,16/03/76,3.8,0.9,1.1
