Date,maxT,minT,prcpt,rDate,year,month,droughtThresh,droughtPeriod,periodCount,drought
8/01/76,7.9,6.3,0,1976-01-08,1976,Jan,1,Start,1,Not drought
9/01/76,8.5,7.2,4.9,1976-01-09,1976,Jan,0,End,,
16/01/76,7.6,3.5,0,1976-01-16,1976,Jan,1,Start,1,Not drought
17/01/76,6.9,4.8,1.7,1976-01-17,1976,Jan,0,End,,
28/01/76,2.2,-2.6,0,1976-01-28,1976,Jan,1,Start,5,Not drought
2/02/76,-0.2,-2.6,1.4,1976-02-02,1976,Feb,0,End,,
6/02/76,0,-1.1,0,1976-02-06,1976,Feb,1,Start,1,Not drought
7/02/76,1.6,-0.2,5.3,1976-02-07,1976,Feb,0,End,,
14/02/76,4.6,-2.8,0,1976-02-14,1976,Feb,1,Start,2,Not drought
16/02/76,1.5,-3.1,0.9,1976-02-16,1976,Feb,0,End,,
17/02/76,-0.4,-2.7,0,1976-02-17,1976,Feb,1,Start,1,Not drought
18/02/76,0.8,-0.5,1.1,1976-02-18,1976,Feb,0,End,,
20/02/76,3.4,-0.3,0,1976-02-20,1976,Feb,1,Start,2,Not drought
22/02/76,6.7,4.4,5.2,1976-02-22,1976,Feb,0,End,,
25/02/76,9,3.9,0,1976-02-25,1976,Feb,1,Start,5,Not drought
1/03/76,10.6,1.5,2.2,1976-03-01,1976,Mar,0,End,,
2/03/76,6.8,-3.4,0,1976-03-02,1976,Mar,1,Start,8,Not drought
10/03/76,3.7,0.3,0.4,1976-03-10,1976,Mar,0,End,,
11/03/76,5.3,1,0,1976-03-11,1976,Mar,1,Start,1,Not drought
12/03/76,5.9,0.2,4.2,1976-03-12,1976,Mar,0,End,,
14/03/76,2.3,0.5,0,1976-03-14,1976,Mar,1,Start,1,Not drought
15/03/76,2.2,0.9,0.7,1976-03-15,1976,Mar,0,End,,
20/03/76,2,-1.5,0,1976-03-20,1976,Mar,1,Start,1,Not drought
21/03/76,7,0.9,4.6,1976-03-21,1976,Mar,0,End,,
23/03/76,2.3,-4,0,1976-03-23,1976,Mar,1,Start,2,Not drought
25/03/76,7.9,-1.4,9.5,1976-03-25,1976,Mar,0,End,,
28/03/76,8.8,4.5,0,1976-03-28,1976,Mar,1,Start,1,Not drought
29/03/76,10.3,4.6,3.2,1976-03-29,1976,Mar,0,End,,
31/03/76,8.6,4.3,0,1976-03-31,1976,Mar,1,Start,1,Not drought
1/04/76,11.2,0.9,2.3,1976-04-01,1976,Apr,0,End,,
4/04/76,8.3,2,0,1976-04-04,1976,Apr,1,Start,1,Not drought
5/04/76,8.2,3.9,0.6,1976-04-05,1976,Apr,0,End,,
9/04/76,7,3.8,0,1976-04-09,1976,Apr,1,Start,5,Not drought
14/04/76,7.2,3,18.2,1976-04-14,1976,Apr,0,End,,
16/04/76,10.4,3.7,0,1976-04-16,1976,Apr,1,Start,2,Not drought
18/04/76,12,8.8,0.4,1976-04-18,1976,Apr,0,End,,
19/04/76,13.6,7.9,0,1976-04-19,1976,Apr,1,Start,13,Not drought
2/05/76,8.4,4.5,10.2,1976-05-02,1976,May,0,End,,
9/05/76,15.8,6.7,0,1976-05-09,1976,May,1,Start,1,Not drought
10/05/76,17.3,8,4.2,1976-05-10,1976,May,0,End,,
11/05/76,12.8,5.2,0,1976-05-11,1976,May,1,Start,1,Not drought
12/05/76,11.9,6.6,2.2,1976-05-12,1976,May,0,End,,
