year,Agro.capi,Agro.stol,Anth.odor,Briz.medi,Camp.rotu,Cent.nigr,Cyno.cris,Dact.glom,Fest.rubr,Gali.apar,Gali.veru,Holc.lana,Hypo.radi,Leon.hisp,Leuc.vulg,Loli.pere,Lotu.corn,Plan.lanc,Poa .prat,Poa .triv,Prim.veri,Prun.vulg,Ranu.acri,Ranu.repe,Rhin.mino,Rume.obtu,Sene.jaco,Succ.prat,Trif.prat,Tris.flav,Vero.cham,Vici.sepi
2004,25,0,65,90,27,125,0,70,70,5,15,340,7,30,64,15,65,427,90,75,85,9,94,57,117,5,0,10,285,0,306,0
2005,0,0,235,270,1,105,5,70,55,0,5,680,0,30,20,0,80,550,175,175,95,0,75,37,64,5,10,0,340,0,517,5
2006,0,40,180,43,3,192,2,35,85,0,6,490,0,0,0,0,25,370,40,35,55,0,52,30,13,0,5,0,70,5,291,0
2007,35,15,145,115,0,370,10,175,220,0,0,320,0,45,35,0,25,480,255,80,10,0,137,80,20,20,0,0,185,35,315,0
2008,25,15,370,150,5,446,5,105,65,5,30,205,0,42,5,5,60,390,160,370,20,0,90,205,60,0,0,0,470,25,265,0
2009,0,5,425,105,10,192,0,105,135,10,15,145,0,60,10,0,106,365,135,120,60,0,135,75,123,0,5,0,310,5,240,0
2010,5,2,285,155,0,340,15,169,325,1,15,92,0,25,23,0,135,440,275,175,65,2,160,110,14,0,0,10,260,0,299,0
2011,10,60,290,160,2,180,0,175,327,7,15,94,0,40,51,0,75,455,310,40,60,0,90,35,30,0,0,0,635,0,414,25
2012,0,25,385,115,20,200,35,175,255,0,20,140,0,50,32,0,120,326,190,110,11,0,130,30,65,0,20,0,575,50,356,15
2013,20,5,390,65,5,220,37,235,390,5,40,152,0,50,20,0,155,280,205,50,27,0,136,50,63,0,5,15,290,70,309,10
2014,0,20,310,160,40,160,35,185,370,5,50,99,0,55,14,0,150,375,210,135,45,0,150,52,49,0,0,20,455,40,370,25
2015,5,40,225,105,45,323,45,130,485,5,22,67,0,45,5,0,115,291,170,68,5,0,172,30,195,0,6,0,473,37,296,25
2016,0,5,300,105,46,162,15,192,370,0,65,40,0,70,18,0,155,352,70,18,10,0,233,35,234,0,14,0,474,52,375,9
